Category: All categories

Week,G-Dragon: (South Korea),Chanel: (South Korea)
2017-12-31,34,24
2018-01-07,18,23
2018-01-14,19,22
2018-01-21,18,23
2018-01-28,18,25
2018-02-04,20,23
2018-02-11,23,24
2018-02-18,16,23
2018-02-25,33,24
2018-03-04,22,23
2018-03-11,24,25
2018-03-18,19,23
2018-03-25,19,25
2018-04-01,19,26
2018-04-08,19,23
2018-04-15,16,23
2018-04-22,14,23
2018-04-29,15,21
2018-05-06,15,26
2018-05-13,15,25
2018-05-20,14,24
2018-05-27,15,24
2018-06-03,14,25
2018-06-10,14,24
2018-06-17,14,25
2018-06-24,100,25
2018-07-01,13,25
2018-07-08,12,24
2018-07-15,13,24
2018-07-22,14,20
2018-07-29,14,20
2018-08-05,12,22
2018-08-12,12,24
2018-08-19,12,27
2018-08-26,10,25
2018-09-02,15,26
2018-09-09,13,25
2018-09-16,12,26
2018-09-23,13,26
2018-09-30,12,27
2018-10-07,15,31
2018-10-14,12,27
2018-10-21,10,27
2018-10-28,11,27
2018-11-04,11,25
2018-11-11,14,26
2018-11-18,14,23
2018-11-25,11,26
2018-12-02,13,28
2018-12-09,12,28
2018-12-16,16,30
2018-12-23,14,30
2018-12-30,15,28
