Category: All categories

Week,G-Dragon: (South Korea),peaceminusone: (South Korea)
2017-12-31,34,0
2018-01-07,18,0
2018-01-14,19,0
2018-01-21,18,0
2018-01-28,18,0
2018-02-04,20,0
2018-02-11,23,0
2018-02-18,16,0
2018-02-25,33,0
2018-03-04,22,0
2018-03-11,24,0
2018-03-18,19,0
2018-03-25,19,0
2018-04-01,19,0
2018-04-08,19,1
2018-04-15,16,0
2018-04-22,14,0
2018-04-29,15,0
2018-05-06,15,0
2018-05-13,15,0
2018-05-20,14,0
2018-05-27,15,0
2018-06-03,14,0
2018-06-10,14,0
2018-06-17,14,0
2018-06-24,100,0
2018-07-01,13,0
2018-07-08,12,0
2018-07-15,13,0
2018-07-22,14,0
2018-07-29,14,0
2018-08-05,12,0
2018-08-12,12,0
2018-08-19,12,0
2018-08-26,10,0
2018-09-02,15,0
2018-09-09,13,0
2018-09-16,12,0
2018-09-23,13,0
2018-09-30,12,0
2018-10-07,15,0
2018-10-14,12,0
2018-10-21,10,0
2018-10-28,11,0
2018-11-04,11,0
2018-11-11,14,0
2018-11-18,14,0
2018-11-25,11,1
2018-12-02,13,0
2018-12-09,12,0
2018-12-16,16,0
2018-12-23,14,0
2018-12-30,15,0
