Category: All categories

Week,G-Dragon: (South Korea),Nike: (South Korea)
2017-12-31,23,46
2018-01-07,12,50
2018-01-14,13,51
2018-01-21,12,53
2018-01-28,12,53
2018-02-04,14,57
2018-02-11,16,65
2018-02-18,11,75
2018-02-25,22,69
2018-03-04,15,72
2018-03-11,16,69
2018-03-18,13,72
2018-03-25,13,73
2018-04-01,13,68
2018-04-08,13,73
2018-04-15,11,67
2018-04-22,10,60
2018-04-29,10,65
2018-05-06,10,62
2018-05-13,10,63
2018-05-20,9,61
2018-05-27,10,63
2018-06-03,9,65
2018-06-10,9,71
2018-06-17,9,74
2018-06-24,68,62
2018-07-01,9,66
2018-07-08,8,90
2018-07-15,9,66
2018-07-22,10,68
2018-07-29,9,70
2018-08-05,8,55
2018-08-12,8,58
2018-08-19,8,56
2018-08-26,7,61
2018-09-02,10,71
2018-09-09,9,70
2018-09-16,8,65
2018-09-23,9,73
2018-09-30,8,79
2018-10-07,10,70
2018-10-14,8,80
2018-10-21,7,67
2018-10-28,8,66
2018-11-04,7,71
2018-11-11,9,67
2018-11-18,9,100
2018-11-25,7,75
2018-12-02,9,69
2018-12-09,8,68
2018-12-16,11,71
2018-12-23,10,66
2018-12-30,10,61
